# schema=1
# kind	loadoutKey	style	role	itemIds
# Only relationships not derivable from equipment stats belong here.
required	obsidian	melee	weapon	6523,6525,6527,6528
required	obsidian	melee	head	21298
required	obsidian	melee	body	21301
required	obsidian	melee	legs	21304
optional	obsidian	melee	amulet	11128,23240
required	swampbark	magic	head	25398
required	swampbark	magic	body	25389
required	swampbark	magic	legs	25401
optional	swampbark	magic	hands	25392
optional	swampbark	magic	feet	25395
required	bloodbark	magic	head	25413
required	bloodbark	magic	body	25404
required	bloodbark	magic	legs	25416
required	bloodbark	magic	hands	25407
required	bloodbark	magic	feet	25410
optional	bloodbark	magic	weapon	27624,27626,28260,28262,28264,28266,28473,28474,28475,28476
required	serpentine-ranged	ranged	head	12931,13197,13199
required	serpentine-ranged	ranged	weapon	12926,28689
required	serpentine-magic	magic	head	12931,13197,13199
required	serpentine-magic	magic	weapon	12899,12904,22292,33314,33318
family	void-family	ranged	head	11663,11664,11665,24183,24184,24185,26473,26475,26477,27005,27006,27007
family	void-family	ranged	body	8839,13072,24177,24178,26463,26469,27000,27003
family	void-family	ranged	legs	8840,13073,24179,24180,26465,26471,27001,27004
family	void-family	ranged	hands	8842,24182,26467,27002
family	ghostly	magic	head	6109,27166
family	ghostly	magic	body	6107,27167
family	ghostly	magic	legs	6108,27168
family	ghostly	magic	cape	6111
family	ghostly	magic	hands	6110
family	ghostly	magic	feet	6106
family	elite-black	melee	head	29560
family	elite-black	melee	body	29562
family	elite-black	melee	legs	29564
family	shayzien-1	melee	hands	13357
family	shayzien-1	melee	feet	13358
family	shayzien-1	melee	head	13359
family	shayzien-1	melee	legs	13360
family	shayzien-1	melee	body	13361
family	shayzien-2	melee	hands	13362
family	shayzien-2	melee	feet	13363
family	shayzien-2	melee	head	13364
family	shayzien-2	melee	legs	13365
family	shayzien-2	melee	body	13366
family	shayzien-3	melee	hands	13367
family	shayzien-3	melee	feet	13368
family	shayzien-3	melee	head	13369
family	shayzien-3	melee	legs	13370
family	shayzien-3	melee	body	13371
family	shayzien-4	melee	hands	13372
family	shayzien-4	melee	feet	13373
family	shayzien-4	melee	head	13374
family	shayzien-4	melee	legs	13375
family	shayzien-4	melee	body	13376
family	shayzien-5	melee	hands	13377
family	shayzien-5	melee	feet	13378
family	shayzien-5	melee	head	13379
family	shayzien-5	melee	legs	13380
family	shayzien-5	melee	body	13381
family	dwarf-cannon	ranged	base	6,26520
family	dwarf-cannon	ranged	stand	8,26522
family	dwarf-cannon	ranged	barrels	10,26524
family	dwarf-cannon	ranged	furnace	12,26526
unusable	-	-	-	23973,23977,23981,23985,25862,27359,27699,27703,27707,27711,27715,27719,27723,27727,27731,27735,27739,27743,27747,27751,27755,27759,27763,27767,27771,27775,27779
unusable	-	-	-	29049,29052,29055,29058,29061,29064,29067,29070,29073
unusable	-	-	-	4860,4866,4872,4878,4884,4890,4896,4902,4908,4914,4920,4926,4932,4938,4944,4950,4956,4962,4968,4974,4980,4986,4992,4998
unusable	-	-	-	20465,20467,20469,20471,20473,20475,20477,20479,20481,20513,33464,33466,33468,33470,33472,33474,33476,33478,33480,33482,33484,33486,33488,33490,33492,33494,33520
unusable	-	-	-	26376,26378,26380
unusable	-	-	-	12929,13196,13198
