style	slot	stage	stageLabel	itemId	displayName	variantNote	source	wikiRevision
ranged	head	4	Late	10390	Saradomin coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	10386	Saradomin d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	10388	Saradomin chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	10384	Saradomin bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19933	Saradomin d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	head	4	Late	12496	Ancient coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	12492	Ancient d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	12494	Ancient chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	12490	Ancient bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19921	Ancient d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	head	4	Late	12504	Bandos coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	12500	Bandos d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	12502	Bandos chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	12498	Bandos bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19924	Bandos d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	head	4	Late	12512	Armadyl coif	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	body	4	Late	12508	Armadyl d'hide body	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	legs	4	Late	12510	Armadyl chaps	Blessed dragonhide; hard-clue RNG	beide	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	hands	4	Late	12506	Armadyl bracers	Blessed dragonhide; hard-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	feet	4	Late	19930	Armadyl d'hide boots	Blessed dragonhide; medium-clue RNG	rapport	https://oldschool.runescape.wiki/w/Blessed_dragonhide_armour?oldid=15066378
ranged	head	4	Late	4732	Karil's coif	Repairable base Barrows form only	rapport	https://oldschool.runescape.wiki/w/Karil_the_Tainted%27s_equipment?oldid=15109820
