item_id	display_name	constant_name	source_category	final_category	changed_by_rules	fallback_review
238	Unicorn Horn	UNICORN_HORN	UNKNOWN	CLEANUP	False	True
247	Jangerberries	JANGERBERRIES	UNKNOWN	CLEANUP	False	True
248	Jangerberries	JANGERBERRIES	UNKNOWN	CLEANUP	False	True
251	Marrentill	MARENTILL	UNKNOWN	CLEANUP	False	True
252	Marentill	MARENTILL	UNKNOWN	CLEANUP	False	True
253	Tarromin	TARROMIN	UNKNOWN	CLEANUP	False	True
254	Tarromin	TARROMIN	UNKNOWN	CLEANUP	False	True
255	Harralander	HARRALANDER	UNKNOWN	CLEANUP	False	True
256	Harralander	HARRALANDER	UNKNOWN	CLEANUP	False	True
257	Ranarr weed	RANARR_WEED	UNKNOWN	CLEANUP	False	True
258	Ranarr Weed	RANARR_WEED	UNKNOWN	CLEANUP	False	True
261	Avantoe	AVANTOE	UNKNOWN	CLEANUP	False	True
262	Avantoe	AVANTOE	UNKNOWN	CLEANUP	False	True
263	Kwuarm	KWUARM	UNKNOWN	CLEANUP	False	True
264	Kwuarm	KWUARM	UNKNOWN	CLEANUP	False	True
265	Cadantine	CADANTINE	UNKNOWN	CLEANUP	False	True
266	Cadantine	CADANTINE	UNKNOWN	CLEANUP	False	True
267	Dwarf weed	DWARF_WEED	UNKNOWN	CLEANUP	False	True
268	Dwarf Weed	DWARF_WEED	UNKNOWN	CLEANUP	False	True
269	Torstol	TORSTOL	UNKNOWN	CLEANUP	False	True
270	Torstol	TORSTOL	UNKNOWN	CLEANUP	False	True
271	Pressure gauge	PRESSURE_GAUGE	UNKNOWN	CLEANUP	False	True
273	Poison	POISON	UNKNOWN	CLEANUP	False	True
275	Key	CLOSET_KEY	UNKNOWN	CLEANUP	False	True
276	Rubber tube	RUBBER_TUBE	UNKNOWN	CLEANUP	False	True
277	Oil can	OIL_CAN	UNKNOWN	CLEANUP	False	True
278	Cattleprod	CATTLEPROD	UNKNOWN	CLEANUP	False	True
279	Sheep feed	POISONED_FEED	UNKNOWN	CLEANUP	False	True
284	Plague jacket	PLAGUE_JACKET	UNKNOWN	CLEANUP	False	True
285	Plague trousers	PLAGUE_TROUSERS	UNKNOWN	CLEANUP	False	True
290	Research package	RESEARCH_PACKAGE	UNKNOWN	CLEANUP	False	True
291	Research notes	RESEARCH_NOTES	UNKNOWN	CLEANUP	False	True
292	Book on baxtorian	BAXTORIAN_BOOK_WATERFALL_QUEST	UNKNOWN	CLEANUP	False	True
293	Key	GOLRIE_KEY_WATERFALL_QUEST	UNKNOWN	CLEANUP	False	True
294	Glarial's pebble	GLARIALS_PEBBLE_WATERFALL_QUEST	UNKNOWN	CLEANUP	False	True
296	Glarial's urn	GLARIALS_URN_FULL_WATERFALL_QUEST	UNKNOWN	CLEANUP	False	True
297	Glarial's urn (empty)	GLARIALS_URN_EMPTY_WATERFALL_QUEST	CLEANUP	CLEANUP	False	False
298	Key	BAXTORIAN_KEY_WATERFALL_QUEST	UNKNOWN	CLEANUP	False	True
300	Rat's tail	RATS_TAIL	UNKNOWN	CLEANUP	False	True
315	Shrimps	SHRIMP	UNKNOWN	CLEANUP	False	True
316	Shrimp	SHRIMP	UNKNOWN	CLEANUP	False	True
319	Anchovies	ANCHOVIES	UNKNOWN	CLEANUP	False	True
320	Anchovies	ANCHOVIES	UNKNOWN	CLEANUP	False	True
325	Sardine	SARDINE	UNKNOWN	CLEANUP	False	True
326	Sardine	SARDINE	UNKNOWN	CLEANUP	False	True
337	Giant carp	GIANT_CARP	UNKNOWN	CLEANUP	False	True
339	Cod	COD	UNKNOWN	CLEANUP	False	True
340	Cod	COD	UNKNOWN	CLEANUP	False	True
351	Pike	PIKE	UNKNOWN	CLEANUP	False	True
352	Pike	PIKE	UNKNOWN	CLEANUP	False	True
355	Mackerel	MACKEREL	UNKNOWN	CLEANUP	False	True
356	Mackerel	MACKEREL	UNKNOWN	CLEANUP	False	True
365	Bass	BASS	UNKNOWN	CLEANUP	False	True
366	Bass	BASS	UNKNOWN	CLEANUP	False	True
392	Mantaray	MANTARAY	UNKNOWN	CLEANUP	False	True
394	Burnt Mantaray	BURNT_MANTARAY	CLEANUP	CLEANUP	False	False
397	Sea turtle	SEATURTLE	UNKNOWN	CLEANUP	False	True
398	Seaturtle	SEATURTLE	UNKNOWN	CLEANUP	False	True
399	Burnt sea turtle	BURNT_SEATURTLE	CLEANUP	CLEANUP	False	False
400	Burnt Seaturtle	BURNT_SEATURTLE	CLEANUP	CLEANUP	False	False
405	Casket	CASKET	UNKNOWN	CLEANUP	False	True
406	Casket	CASKET	UNKNOWN	CLEANUP	False	True
407	Oyster	OYSTERSHELL	UNKNOWN	CLEANUP	False	True
408	Oystershell	OYSTERSHELL	UNKNOWN	CLEANUP	False	True
409	Empty oyster	OYSTEREMPTY	CLEANUP	CLEANUP	False	False
410	Oysterempty	OYSTEREMPTY	CLEANUP	CLEANUP	False	False
415	Ethenea	ETHENEA	UNKNOWN	CLEANUP	False	True
416	Liquid honey	LIQUID_HONEY	UNKNOWN	CLEANUP	False	True
417	Sulphuric broline	SULPHURIC_BROLINE	UNKNOWN	CLEANUP	False	True
418	Plague sample	PLAGUESAMPLE	UNKNOWN	CLEANUP	False	True
419	Touch paper	TOUCH_PAPER	UNKNOWN	CLEANUP	False	True
420	Distillator	DISTILLATOR	UNKNOWN	CLEANUP	False	True
422	Bird feed	BIRDFEED	UNKNOWN	CLEANUP	False	True
423	Key	MOURNERKEYTW	UNKNOWN	CLEANUP	False	True
424	Pigeon cage	PIGEONS	UNKNOWN	CLEANUP	False	True
425	Pigeon cage	PIGEONCAGE	UNKNOWN	CLEANUP	False	True
426	Priest gown	PRIEST_GOWN	UNKNOWN	CLEANUP	False	True
427	Priest Gown	PRIEST_GOWN	UNKNOWN	CLEANUP	False	True
430	Medical gown	DOCTOR_GOWN	UNKNOWN	CLEANUP	False	True
431	Karamjan rum	KARAMJA_RUM	UNKNOWN	CLEANUP	False	True
432	Chest key	CHEST_KEY	UNKNOWN	CLEANUP	False	True
433	Pirate message	PIRATEMESSAGE	UNKNOWN	CLEANUP	False	True
453	Coal	COAL	UNKNOWN	CLEANUP	False	True
454	Coal	COAL	UNKNOWN	CLEANUP	False	True
456	Scorpion cage	SCORPIONCAGEEMPTY	CLEANUP	CLEANUP	False	False
457	Scorpion cage	SCORPIONCAGEA	UNKNOWN	CLEANUP	False	True
458	Scorpion cage	SCORPIONCAGEAB	UNKNOWN	CLEANUP	False	True
459	Scorpion cage	SCORPIONCAGEAC	UNKNOWN	CLEANUP	False	True
460	Scorpion cage	SCORPIONCAGEB	UNKNOWN	CLEANUP	False	True
461	Scorpion cage	SCORPIONCAGEBC	UNKNOWN	CLEANUP	False	True
462	Scorpion cage	SCORPIONCAGEC	UNKNOWN	CLEANUP	False	True
463	Scorpion cage	SCORPIONCAGEFULL	UNKNOWN	CLEANUP	False	True
464	Strange fruit	MACRO_TRIFFIDFRUIT	UNKNOWN	CLEANUP	False	True
465	Macro Triffidfruit	MACRO_TRIFFIDFRUIT	UNKNOWN	CLEANUP	False	True
492	Axe handle	MACRO_HATCHETHANDLE	SKILLING	CLEANUP	True	False
493	Macro Hatchethandle	MACRO_HATCHETHANDLE	UNKNOWN	CLEANUP	False	True
494	Broken axe	MACRO_BROKEN_BRONZE_HATCHET	SKILLING	CLEANUP	True	False
495	Macro Broken Bronze Hatchet	MACRO_BROKEN_BRONZE_HATCHET	CLEANUP	CLEANUP	False	False
496	Broken axe	MACRO_BROKEN_IRON_HATCHET	SKILLING	CLEANUP	True	False
497	Macro Broken Iron Hatchet	MACRO_BROKEN_IRON_HATCHET	CLEANUP	CLEANUP	False	False
498	Broken axe	MACRO_BROKEN_STEEL_HATCHET	SKILLING	CLEANUP	True	False
499	Macro Broken Steel Hatchet	MACRO_BROKEN_STEEL_HATCHET	CLEANUP	CLEANUP	False	False
500	Broken axe	MACRO_BROKEN_BLACK_HATCHET	SKILLING	CLEANUP	True	False
501	Macro Broken Black Hatchet	MACRO_BROKEN_BLACK_HATCHET	CLEANUP	CLEANUP	False	False
502	Broken axe	MACRO_BROKEN_MITHRIL_HATCHET	SKILLING	CLEANUP	True	False
503	Macro Broken Mithril Hatchet	MACRO_BROKEN_MITHRIL_HATCHET	CLEANUP	CLEANUP	False	False
504	Broken axe	MACRO_BROKEN_ADAMANT_HATCHET	SKILLING	CLEANUP	True	False
505	Macro Broken Adamant Hatchet	MACRO_BROKEN_ADAMANT_HATCHET	CLEANUP	CLEANUP	False	False
506	Broken axe	MACRO_BROKEN_RUNE_HATCHET	RUNE	CLEANUP	True	False
507	Macro Broken Rune Hatchet	MACRO_BROKEN_RUNE_HATCHET	RUNE	CLEANUP	True	False
508	Bronze axe head	MACRO_BRONZE_HATCHETHEAD	SKILLING	CLEANUP	True	False
509	Macro Bronze Hatchethead	MACRO_BRONZE_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
510	Iron axe head	MACRO_IRON_HATCHETHEAD	SKILLING	CLEANUP	True	False
511	Macro Iron Hatchethead	MACRO_IRON_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
512	Steel axe head	MACRO_STEEL_HATCHETHEAD	SKILLING	CLEANUP	True	False
513	Macro Steel Hatchethead	MACRO_STEEL_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
514	Black axe head	MACRO_BLACK_HATCHETHEAD	SKILLING	CLEANUP	True	False
515	Macro Black Hatchethead	MACRO_BLACK_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
516	Mithril axe head	MACRO_MITHRIL_HATCHETHEAD	SKILLING	CLEANUP	True	False
517	Macro Mithril Hatchethead	MACRO_MITHRIL_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
518	Adamant axe head	MACRO_ADAMANT_HATCHETHEAD	SKILLING	CLEANUP	True	False
519	Macro Adamant Hatchethead	MACRO_ADAMANT_HATCHETHEAD	UNKNOWN	CLEANUP	False	True
520	Rune axe head	MACRO_RUNE_HATCHETHEAD	RUNE	CLEANUP	True	False
521	Macro Rune Hatchethead	MACRO_RUNE_HATCHETHEAD	RUNE	CLEANUP	True	False
522	Enchanted beef	ENCHANTED_BEEF	UNKNOWN	CLEANUP	False	True
523	Enchanted rat	ENCHANTED_RAT_MEAT	UNKNOWN	CLEANUP	False	True
524	Enchanted bear	ENCHANTED_BEAR_MEAT	UNKNOWN	CLEANUP	False	True
525	Enchanted chicken	ENCHANTED_CHICKEN	UNKNOWN	CLEANUP	False	True
540	Druid's robe top	DRUIDROBETOP	GEAR	CLEANUP	True	False
544	Monk's robe top	MONKROBETOP	GEAR	CLEANUP	True	False
546	Shade robe top	BLACKROBETOP	GEAR	CLEANUP	True	False
550	Newcomer map	NEWCOMER_MAP	UNKNOWN	CLEANUP	False	True
551	Newcomer Map	NEWCOMER_MAP	UNKNOWN	CLEANUP	False	True
553	Ghost's skull	GHOSTSKULL	UNKNOWN	CLEANUP	False	True
579	Blue wizard hat	BLUEWIZHAT	UNKNOWN	CLEANUP	False	True
580	Bluewizhat	BLUEWIZHAT	UNKNOWN	CLEANUP	False	True
583	Bailing bucket	BUCKET_BAILING	CLEANUP	CLEANUP	False	False
584	Bucket Bailing	BUCKET_BAILING	CLEANUP	CLEANUP	False	False
585	Bailing bucket	BUCKET_BAILINGFULL	CLEANUP	CLEANUP	False	False
586	Bucket Bailingfull	BUCKET_BAILINGFULL	CLEANUP	CLEANUP	False	False
594	Lit torch	TORCH_LIT	UNKNOWN	CLEANUP	False	True
595	Torch	CERT_TORCH_LIT	UNKNOWN	CLEANUP	False	True
596	Unlit torch	TORCH_UNLIT	UNKNOWN	CLEANUP	False	True
597	Torch Unlit	TORCH_UNLIT	UNKNOWN	CLEANUP	False	True
601	Goblin kitchen key	KEEP_KEY	UNKNOWN	CLEANUP	False	True
603	Observatory lens	LENS	UNKNOWN	CLEANUP	False	True
606	Stone-plaque	ZQPLAQUE	UNKNOWN	CLEANUP	False	True
607	Tattered scroll	ZQBERVIRIUSSCROLL	UNKNOWN	CLEANUP	False	True
611	Locating crystal	ZQCRYSTAL	UNKNOWN	CLEANUP	False	True
612	Locating crystal	ZQCRYSTAL_BLUE	UNKNOWN	CLEANUP	False	True
613	Locating crystal	ZQCRYSTAL_RED	UNKNOWN	CLEANUP	False	True
614	Locating crystal	ZQCRYSTAL_YELLOW	UNKNOWN	CLEANUP	False	True
615	Locating crystal	ZQCRYSTAL_WHITE	UNKNOWN	CLEANUP	False	True
616	Beads of the dead	ZQDEADBEADS	UNKNOWN	CLEANUP	False	True
624	Bervirius notes	ZQBERVIRIUSSCROLL2	UNKNOWN	CLEANUP	False	True
625	Wampum belt	MOSOL_WAMPUM_BELT	UNKNOWN	CLEANUP	False	True
636	Pink robe top	GNOME_ROBETOP_PINK	GEAR	CLEANUP	True	False
638	Green robe top	GNOME_ROBETOP_GREEN	GEAR	CLEANUP	True	False
640	Blue robe top	GNOME_ROBETOP_BLUE	GEAR	CLEANUP	True	False
642	Cream robe top	GNOME_ROBETOP_CREAM	GEAR	CLEANUP	True	False
644	Turquoise robe top	GNOME_ROBETOP_TURQUOISE	GEAR	CLEANUP	True	False
646	Pink robe bottoms	GNOME_ROBEBOTTOMS_PINK	GEAR	CLEANUP	True	False
648	Green robe bottoms	GNOME_ROBEBOTTOMS_GREEN	GEAR	CLEANUP	True	False
650	Blue robe bottoms	GNOME_ROBEBOTTOMS_BLUE	GEAR	CLEANUP	True	False
652	Cream robe bottoms	GNOME_ROBEBOTTOMS_CREAM	GEAR	CLEANUP	True	False
654	Turquoise robe bottoms	GNOME_ROBEBOTTOMS_TURQUOISE	GEAR	CLEANUP	True	False
656	Pink hat	GNOME_HAT_PINK	UNKNOWN	CLEANUP	False	True
657	Gnome Hat Pink	GNOME_HAT_PINK	UNKNOWN	CLEANUP	False	True
658	Green hat	GNOME_HAT_GREEN	UNKNOWN	CLEANUP	False	True
659	Gnome Hat Green	GNOME_HAT_GREEN	UNKNOWN	CLEANUP	False	True
660	Blue hat	GNOME_HAT_BLUE	UNKNOWN	CLEANUP	False	True
661	Gnome Hat Blue	GNOME_HAT_BLUE	UNKNOWN	CLEANUP	False	True
662	Cream hat	GNOME_HAT_CREAM	UNKNOWN	CLEANUP	False	True
663	Gnome Hat Cream	GNOME_HAT_CREAM	UNKNOWN	CLEANUP	False	True
664	Turquoise hat	GNOME_HAT_TURQUOISE	UNKNOWN	CLEANUP	False	True
665	Gnome Hat Turquoise	GNOME_HAT_TURQUOISE	UNKNOWN	CLEANUP	False	True
666	Portrait	KNIGHTS_PORTRAIT	UNKNOWN	CLEANUP	False	True
669	Specimen jar	SPECIMEN_JAR	UNKNOWN	CLEANUP	False	True
670	Specimen brush	SPECIMEN_BRUSH	UNKNOWN	CLEANUP	False	True
671	Animal skull	ROCK_SAMPLE1	UNKNOWN	CLEANUP	False	True
672	Special cup	ROCK_SAMPLE2	UNKNOWN	CLEANUP	False	True
673	Teddy	ROCK_SAMPLE3	UNKNOWN	CLEANUP	False	True
674	Cracked sample	CRACKED_SAMPLE	UNKNOWN	CLEANUP	False	True
675	Rock pick	ROCKPICK	UNKNOWN	CLEANUP	False	True
676	Trowel	TROWEL	UNKNOWN	CLEANUP	False	True
677	Panning tray	TRAY_EMPTY	CLEANUP	CLEANUP	False	False
678	Panning tray	TRAY_GOLD	UNKNOWN	CLEANUP	False	True
679	Panning tray	TRAY_MUD	UNKNOWN	CLEANUP	False	True
681	Ancient talisman	DIGTALISMAN	UNKNOWN	CLEANUP	False	True
682	Unstamped letter	DIGPLAINLETTER	UNKNOWN	CLEANUP	False	True
683	Sealed letter	RECOMMENDEDLETTER	UNKNOWN	CLEANUP	False	True
684	Belt buckle	DIGSITEBUCKLE	UNKNOWN	CLEANUP	False	True
685	Old boot	OLD_BOOT	UNKNOWN	CLEANUP	False	True
688	Buttons	DIGSITEBUTTONS	UNKNOWN	CLEANUP	False	True
690	Broken glass	DIGSITEGLASS	CLEANUP	CLEANUP	False	False
691	Level 1 certificate	LEVEL1CERTIFICATE	UNKNOWN	CLEANUP	False	True
692	Level 2 certificate	LEVEL2CERTIFICATE	UNKNOWN	CLEANUP	False	True
693	Level 3 certificate	LEVEL3CERTIFICATE	UNKNOWN	CLEANUP	False	True
694	Ceramic remains	DIGSITEPOTTERY	CLEANUP	CLEANUP	False	False
695	Old tooth	OLD_TOOTH	UNKNOWN	CLEANUP	False	True
696	Invitation letter	DIGEXPERTSCROLL	UNKNOWN	CLEANUP	False	True
700	Chemical powder	UNIDENTIFIED_POWDER	UNKNOWN	CLEANUP	False	True
701	Ammonium nitrate	AMMONIUM_NITRATE	UNKNOWN	CLEANUP	False	True
702	Unidentified liquid	UNIDENTIFIED_LIQUID	UNKNOWN	CLEANUP	False	True
703	Nitroglycerin	NITROGLYCERIN	UNKNOWN	CLEANUP	False	True
704	Ground charcoal	GROUND_CHARCOAL	UNKNOWN	CLEANUP	False	True
705	Mixed chemicals	PRECHARCOALMIXTURE	UNKNOWN	CLEANUP	False	True
706	Mixed chemicals	POSTCHARCOALMIXTURE	UNKNOWN	CLEANUP	False	True
707	Chemical compound	DIGCOMPOUND	UNKNOWN	CLEANUP	False	True
708	Arcenia root	ARCENIA_ROOT	UNKNOWN	CLEANUP	False	True
709	Chest key	DIGCHESTKEY	UNKNOWN	CLEANUP	False	True
710	Vase	DIGSITEVASE	UNKNOWN	CLEANUP	False	True
711	Book on chemicals	DIGSITEBOOK	UNKNOWN	CLEANUP	False	True
712	Cup of tea	DISPLAY_TEA	UNKNOWN	CLEANUP	False	True
713	Clue scroll	CERT_DISPLAY_TEA	UNKNOWN	CLEANUP	False	True
714	Radimus notes	THKARAMJAMAP	UNKNOWN	CLEANUP	False	True
715	Radimus notes	THKARAMJAMAPCOMP	UNKNOWN	CLEANUP	False	True
716	Bullroarer	BULLROARER	UNKNOWN	CLEANUP	False	True
717	Scrawled note	SCRAWLED_NOTE1	UNKNOWN	CLEANUP	False	True
718	A scribbled note	SCRAWLED_NOTE2	UNKNOWN	CLEANUP	False	True
719	Scrumpled note	SCRAWLED_NOTE3	UNKNOWN	CLEANUP	False	True
727	Hollow reed	REED_HOLLOW	UNKNOWN	CLEANUP	False	True
728	Hollow reed	CERT_REED_HOLLOW	UNKNOWN	CLEANUP	False	True
729	Shaman's tome	SHAMANS_TOME	UNKNOWN	CLEANUP	False	True
730	Binding book	BOOK_OF_BINDING	UNKNOWN	CLEANUP	False	True
732	Holy water	HOLY_WATER	UNKNOWN	CLEANUP	False	True
737	Snakeweed mixture	SNAKEWEED_SOL	UNKNOWN	CLEANUP	False	True
738	Ardrigal mixture	ARDRIGAL_SOL	UNKNOWN	CLEANUP	False	True
740	Blue hat	VIYELDIHAT	UNKNOWN	CLEANUP	False	True
741	Chunk of crystal	HEARTCRYSTAL_SECTIONA	UNKNOWN	CLEANUP	False	True
742	Hunk of crystal	HEARTCRYSTAL_SECTIONB	UNKNOWN	CLEANUP	False	True
743	Lump of crystal	HEARTCRYSTAL_SECTIONC	UNKNOWN	CLEANUP	False	True
744	Heart crystal	HEARTCRYSTAL	UNKNOWN	CLEANUP	False	True
745	Heart crystal	HEARTCRYSTAL_GLOW	UNKNOWN	CLEANUP	False	True
748	Holy force	HOLYFORCE	UNKNOWN	CLEANUP	False	True
749	Yommi totem	THTOTEMPOLE	UNKNOWN	CLEANUP	False	True
750	Gilded totem	THTOTEMPOLEGIFT	UNKNOWN	CLEANUP	False	True
751	Gnomeball	BALL_GNOMEBALL_GAME	UNKNOWN	CLEANUP	False	True
752	Ball Gnomeball Game	BALL_GNOMEBALL_GAME	UNKNOWN	CLEANUP	False	True
753	Cadava berries	CADAVABERRIES	UNKNOWN	CLEANUP	False	True
754	Cadavaberries	CADAVABERRIES	UNKNOWN	CLEANUP	False	True
755	Message	JULIETMESSAGE	UNKNOWN	CLEANUP	False	True
758	Phoenix hq key	PHOENIXKEY1	UNKNOWN	CLEANUP	False	True
760	Phoenixkey2	PHOENIXKEY2	UNKNOWN	CLEANUP	False	True
761	Intel report	INTELLIGENCE_REPORT	UNKNOWN	CLEANUP	False	True
769	Certificate	ARRAVCERTIFICATE	UNKNOWN	CLEANUP	False	True
770	Ardougne cloak	CERT_ARRAVCERTIFICATE	UNKNOWN	CLEANUP	False	True
771	Dramen branch	DRAMEN_BRANCH	UNKNOWN	CLEANUP	False	True
774	'perfect' necklace	PERFECT_RUBY_NECKLACE	UNKNOWN	CLEANUP	False	True
775	Cooking gauntlets	GAUNTLETS_OF_COOKING	UNKNOWN	CLEANUP	False	True
776	Goldsmith gauntlets	GAUNTLETS_OF_GOLDSMITHING	UNKNOWN	CLEANUP	False	True
777	Chaos gauntlets	GAUNTLETS_OF_CHAOS	UNKNOWN	CLEANUP	False	True
778	Steel gauntlets	STEEL_GAUNTLETS	UNKNOWN	CLEANUP	False	True
779	Crest part	AVAN_CREST	UNKNOWN	CLEANUP	False	True
780	Crest part	CALEB_CREST	UNKNOWN	CLEANUP	False	True
781	Crest part	JOHNATHON_CREST	UNKNOWN	CLEANUP	False	True
782	Family crest	FAMILY_CREST	UNKNOWN	CLEANUP	False	True
784	Translation book	GRANDTREE_TRANSLATIONBOOK	UNKNOWN	CLEANUP	False	True
785	Glough's journal	GRANDTREE_JOURNAL	UNKNOWN	CLEANUP	False	True
786	Hazelmere's scroll	GRANDTREE_SCROLL	UNKNOWN	CLEANUP	False	True
787	Lumber order	GRANDTREE_ORDER	UNKNOWN	CLEANUP	False	True
788	Glough's key	GRANDTREE_GLOUGHSKEY	UNKNOWN	CLEANUP	False	True
789	Twigs	GRANDTREE_TWIGT	UNKNOWN	CLEANUP	False	True
790	Twigs	GRANDTREE_TWIGU	UNKNOWN	CLEANUP	False	True
791	Twigs	GRANDTREE_TWIGZ	UNKNOWN	CLEANUP	False	True
792	Twigs	GRANDTREE_TWIGO	UNKNOWN	CLEANUP	False	True
793	Daconia rock	GRANDTREE_DACONIAROCK	UNKNOWN	CLEANUP	False	True
794	Invasion plans	GRANDTREE_INVASIONPLANS	UNKNOWN	CLEANUP	False	True
795	War ship	GRANDTREE_WARSHIP	UNKNOWN	CLEANUP	False	True
798	Grinder	GRINDER	UNKNOWN	CLEANUP	False	True
799	Template For Cert	TEMPLATE_FOR_CERT	UNKNOWN	CLEANUP	False	True
943	Worm	WORM	UNKNOWN	CLEANUP	False	True
944	Worm	WORM	UNKNOWN	CLEANUP	False	True
945	Throwing rope	THROWINGROPE	UNKNOWN	CLEANUP	False	True
948	Bear fur	FUR	UNKNOWN	CLEANUP	False	True
949	Fur	FUR	UNKNOWN	CLEANUP	False	True
950	Silk	SILK	UNKNOWN	CLEANUP	False	True
951	Silk	SILK	UNKNOWN	CLEANUP	False	True
954	Rope	ROPE	UNKNOWN	CLEANUP	False	True
955	Rope	ROPE	UNKNOWN	CLEANUP	False	True
956	Flyer	FLIER	UNKNOWN	CLEANUP	False	True
957	Flier	FLIER	UNKNOWN	CLEANUP	False	True
958	Grey wolf fur	GREY_WOLF_FUR	UNKNOWN	CLEANUP	False	True
959	Grey Wolf Fur	GREY_WOLF_FUR	UNKNOWN	CLEANUP	False	True
962	Christmas cracker	CHRISTMAS_CRACKER	UNKNOWN	CLEANUP	False	True
963	Christmas Cracker	CHRISTMAS_CRACKER	UNKNOWN	CLEANUP	False	True
