item_id	namespace	constant_name	display_name	inferred_label	category	confidence	flags	tags
26	TOP_LEVEL	HEMENSTER_FISHING_TROPHY	Fishing trophy	Hemenster Fishing Trophy	SKILLING	LOW		skilling
27	TOP_LEVEL	FISHING_COMPETITION_PASS	Fishing pass	Fishing Competition Pass	SKILLING	LOW		skilling
28	TOP_LEVEL	INSECT_REPELLENT	Insect repellent	Insect Repellent	UNKNOWN	LOW		
29	CERT	INSECT_REPELLENT		Insect Repellent	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
30	TOP_LEVEL	BUCKET_WAX	Bucket of wax	Bucket Wax	CLEANUP	LOW		cleanup
31	CERT	BUCKET_WAX		Bucket Wax	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
32	TOP_LEVEL	LIT_BLACK_CANDLE	Lit black candle	Lit Black Candle	UNKNOWN	LOW		
33	TOP_LEVEL	LIT_CANDLE	Lit candle	Lit Candle	UNKNOWN	LOW		
34	TOP_LEVEL	CERT_LIT_CANDLE	Null	Cert Lit Candle	UNKNOWN	LOW	exclude-main-catalog,cert-or-noted-name	
35	TOP_LEVEL	EXCALIBUR	Excalibur	Excalibur	UNKNOWN	LOW		
36	TOP_LEVEL	UNLIT_CANDLE	Candle	Unlit Candle	UNKNOWN	LOW		
37	CERT	UNLIT_CANDLE		Unlit Candle	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
38	TOP_LEVEL	UNLIT_BLACK_CANDLE	Black candle	Unlit Black Candle	UNKNOWN	LOW		
39	TOP_LEVEL	BRONZE_ARROWHEADS	Bronze arrowtips	Bronze Arrowheads	UNKNOWN	LOW		
40	TOP_LEVEL	IRON_ARROWHEADS	Iron arrowtips	Iron Arrowheads	UNKNOWN	LOW		
41	TOP_LEVEL	STEEL_ARROWHEADS	Steel arrowtips	Steel Arrowheads	UNKNOWN	LOW		
42	TOP_LEVEL	MITHRIL_ARROWHEADS	Mithril arrowtips	Mithril Arrowheads	UNKNOWN	LOW		
43	TOP_LEVEL	ADAMANT_ARROWHEADS	Adamant arrowtips	Adamant Arrowheads	UNKNOWN	LOW		
44	TOP_LEVEL	RUNE_ARROWHEADS	Rune arrowtips	Rune Arrowheads	RUNE	HIGH		rune
45	TOP_LEVEL	OPAL_BOLTTIPS	Opal bolt tips	Opal Bolttips	UNKNOWN	LOW		
46	TOP_LEVEL	PEARL_BOLTTIPS	Pearl bolt tips	Pearl Bolttips	UNKNOWN	LOW		
47	TOP_LEVEL	BARBED_BOLTTIPS	Barb bolttips	Barbed Bolttips	SKILLING	LOW		skilling
48	TOP_LEVEL	UNSTRUNG_LONGBOW	Longbow (u)	Unstrung Longbow	GEAR	LOW		gear
49	CERT	UNSTRUNG_LONGBOW		Unstrung Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
50	TOP_LEVEL	UNSTRUNG_SHORTBOW	Shortbow (u)	Unstrung Shortbow	GEAR	LOW		gear
51	CERT	UNSTRUNG_SHORTBOW		Unstrung Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
52	TOP_LEVEL	ARROW_SHAFT	Arrow shaft	Arrow Shaft	UNKNOWN	LOW		
53	TOP_LEVEL	HEADLESS_ARROW	Headless arrow	Headless Arrow	UNKNOWN	LOW		
54	TOP_LEVEL	UNSTRUNG_OAK_SHORTBOW	Oak shortbow (u)	Unstrung Oak Shortbow	GEAR	LOW		gear
55	CERT	UNSTRUNG_OAK_SHORTBOW		Unstrung Oak Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
56	TOP_LEVEL	UNSTRUNG_OAK_LONGBOW	Oak longbow (u)	Unstrung Oak Longbow	GEAR	LOW		gear
57	CERT	UNSTRUNG_OAK_LONGBOW		Unstrung Oak Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
58	TOP_LEVEL	UNSTRUNG_WILLOW_LONGBOW	Willow longbow (u)	Unstrung Willow Longbow	GEAR	LOW		gear
59	CERT	UNSTRUNG_WILLOW_LONGBOW		Unstrung Willow Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
60	TOP_LEVEL	UNSTRUNG_WILLOW_SHORTBOW	Willow shortbow (u)	Unstrung Willow Shortbow	GEAR	LOW		gear
61	CERT	UNSTRUNG_WILLOW_SHORTBOW		Unstrung Willow Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
62	TOP_LEVEL	UNSTRUNG_MAPLE_LONGBOW	Maple longbow (u)	Unstrung Maple Longbow	GEAR	LOW		gear
63	CERT	UNSTRUNG_MAPLE_LONGBOW		Unstrung Maple Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
64	TOP_LEVEL	UNSTRUNG_MAPLE_SHORTBOW	Maple shortbow (u)	Unstrung Maple Shortbow	GEAR	LOW		gear
65	CERT	UNSTRUNG_MAPLE_SHORTBOW		Unstrung Maple Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
66	TOP_LEVEL	UNSTRUNG_YEW_LONGBOW	Yew longbow (u)	Unstrung Yew Longbow	GEAR	LOW		gear
67	CERT	UNSTRUNG_YEW_LONGBOW		Unstrung Yew Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
68	TOP_LEVEL	UNSTRUNG_YEW_SHORTBOW	Yew shortbow (u)	Unstrung Yew Shortbow	GEAR	LOW		gear
69	CERT	UNSTRUNG_YEW_SHORTBOW		Unstrung Yew Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
70	TOP_LEVEL	UNSTRUNG_MAGIC_LONGBOW	Magic longbow (u)	Unstrung Magic Longbow	GEAR	LOW		gear
71	CERT	UNSTRUNG_MAGIC_LONGBOW		Unstrung Magic Longbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
72	TOP_LEVEL	UNSTRUNG_MAGIC_SHORTBOW	Magic shortbow (u)	Unstrung Magic Shortbow	GEAR	LOW		gear
73	CERT	UNSTRUNG_MAGIC_SHORTBOW		Unstrung Magic Shortbow	GEAR	LOW	exclude-main-catalog,cert,missing-direct-javadoc	gear
74	TOP_LEVEL	KHAZARD_HELMET	Khazard helmet	Khazard Helmet	GEAR	LOW		gear
75	TOP_LEVEL	KHAZARD_PLATEMAIL	Khazard armour	Khazard Platemail	GEAR	LOW		gear
76	TOP_LEVEL	KHAZARD_CELLKEYS	Khazard cell keys	Khazard Cellkeys	UNKNOWN	LOW		
77	TOP_LEVEL	KHALI_BREW	Khali brew	Khali Brew	POTION	MEDIUM		potion
78	TOP_LEVEL	ICE_ARROW	Ice arrows	Ice Arrow	UNKNOWN	LOW		
79	TOP_LEVEL	ICE_ARROW_4		Ice Arrow 4	UNKNOWN	LOW	missing-direct-javadoc	
80	TOP_LEVEL	ICE_ARROW_3		Ice Arrow 3	UNKNOWN	LOW	missing-direct-javadoc	
81	TOP_LEVEL	ICE_ARROW_2		Ice Arrow 2	UNKNOWN	LOW	missing-direct-javadoc	
82	TOP_LEVEL	ICE_ARROW_5		Ice Arrow 5	UNKNOWN	LOW	missing-direct-javadoc	
83	TOP_LEVEL	IKOV_LEVER	Lever	Ikov Lever	UNKNOWN	LOW		
84	TOP_LEVEL	IKOV_STAFFOFARMARDYL	Staff of armadyl	Ikov Staffofarmardyl	GEAR	LOW		gear
85	TOP_LEVEL	IKOV_SHINYKEY	Shiny key	Ikov Shinykey	UNKNOWN	LOW		
86	TOP_LEVEL	IKOV_PENDANTOFLUCIEN	Pendant of lucien	Ikov Pendantoflucien	UNKNOWN	LOW		
87	TOP_LEVEL	IKOV_PENDANTOFARMARDYL	Armadyl pendant	Ikov Pendantofarmardyl	UNKNOWN	LOW		
88	TOP_LEVEL	IKOV_BOOTSOFLIGHTNESS	Boots of lightness	Ikov Bootsoflightness	GEAR	LOW		gear
89	TOP_LEVEL	IKOV_BOOTSOFLIGHTNESSWORN	Boots of lightness	Ikov Bootsoflightnessworn	GEAR	LOW		gear
90	TOP_LEVEL	CHILDS_BLANKET	Child's blanket	Childs Blanket	UNKNOWN	LOW		
91	TOP_LEVEL	GUAMVIAL	Guam potion (unf)	Guamvial	POTION	MEDIUM		potion
92	CERT	GUAMVIAL		Guamvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
93	TOP_LEVEL	MARRENTILLVIAL	Marrentill potion (unf)	Marrentillvial	POTION	MEDIUM		potion
94	CERT	MARRENTILLVIAL		Marrentillvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
95	TOP_LEVEL	TARROMINVIAL	Tarromin potion (unf)	Tarrominvial	POTION	MEDIUM		potion
96	CERT	TARROMINVIAL		Tarrominvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
97	TOP_LEVEL	HARRALANDERVIAL	Harralander potion (unf)	Harralandervial	POTION	MEDIUM		potion
98	CERT	HARRALANDERVIAL		Harralandervial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
99	TOP_LEVEL	RANARRVIAL	Ranarr potion (unf)	Ranarrvial	POTION	MEDIUM		potion
100	CERT	RANARRVIAL		Ranarrvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
101	TOP_LEVEL	IRITVIAL	Irit potion (unf)	Iritvial	POTION	MEDIUM		potion
102	CERT	IRITVIAL		Iritvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
103	TOP_LEVEL	AVANTOEVIAL	Avantoe potion (unf)	Avantoevial	POTION	MEDIUM		potion
104	CERT	AVANTOEVIAL		Avantoevial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
105	TOP_LEVEL	KWUARMVIAL	Kwuarm potion (unf)	Kwuarmvial	POTION	MEDIUM		potion
106	CERT	KWUARMVIAL		Kwuarmvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
107	TOP_LEVEL	CADANTINEVIAL	Cadantine potion (unf)	Cadantinevial	POTION	MEDIUM		potion
108	CERT	CADANTINEVIAL		Cadantinevial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
109	TOP_LEVEL	DWARFWEEDVIAL	Dwarf weed potion (unf)	Dwarfweedvial	POTION	MEDIUM		potion
110	CERT	DWARFWEEDVIAL		Dwarfweedvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
111	TOP_LEVEL	TORSTOLVIAL	Torstol potion (unf)	Torstolvial	POTION	MEDIUM		potion
112	CERT	TORSTOLVIAL		Torstolvial	CLEANUP	LOW	exclude-main-catalog,cert,missing-direct-javadoc	cleanup
113	TOP_LEVEL	STRENGTH4	Strength potion(4)	Strength4	POTION	MEDIUM		potion,dose
114	CERT	STRENGTH4		Strength4	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
115	TOP_LEVEL	_3DOSE1STRENGTH	Strength potion(3)	 3Dose1strength	POTION	MEDIUM		potion,dose
116	CERT	_3DOSE1STRENGTH		 3Dose1strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
117	TOP_LEVEL	_2DOSE1STRENGTH	Strength potion(2)	 2Dose1strength	POTION	MEDIUM		potion,dose
118	CERT	_2DOSE1STRENGTH		 2Dose1strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
119	TOP_LEVEL	_1DOSE1STRENGTH	Strength potion(1)	 1Dose1strength	POTION	MEDIUM		potion,dose
120	CERT	_1DOSE1STRENGTH		 1Dose1strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
121	TOP_LEVEL	_3DOSE1ATTACK	Attack potion(3)	 3Dose1attack	POTION	MEDIUM		potion,dose
122	CERT	_3DOSE1ATTACK		 3Dose1attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
123	TOP_LEVEL	_2DOSE1ATTACK	Attack potion(2)	 2Dose1attack	POTION	MEDIUM		potion,dose
124	CERT	_2DOSE1ATTACK		 2Dose1attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
125	TOP_LEVEL	_1DOSE1ATTACK	Attack potion(1)	 1Dose1attack	POTION	MEDIUM		potion,dose
126	CERT	_1DOSE1ATTACK		 1Dose1attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
127	TOP_LEVEL	_3DOSESTATRESTORE	Restore potion(3)	 3Dosestatrestore	POTION	MEDIUM		potion,dose
128	CERT	_3DOSESTATRESTORE		 3Dosestatrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
129	TOP_LEVEL	_2DOSESTATRESTORE	Restore potion(2)	 2Dosestatrestore	POTION	MEDIUM		potion,dose
130	CERT	_2DOSESTATRESTORE		 2Dosestatrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
131	TOP_LEVEL	_1DOSESTATRESTORE	Restore potion(1)	 1Dosestatrestore	POTION	MEDIUM		potion,dose
132	CERT	_1DOSESTATRESTORE		 1Dosestatrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
133	TOP_LEVEL	_3DOSE1DEFENSE	Defence potion(3)	 3Dose1defense	POTION	MEDIUM		potion,dose
134	CERT	_3DOSE1DEFENSE		 3Dose1defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
135	TOP_LEVEL	_2DOSE1DEFENSE	Defence potion(2)	 2Dose1defense	POTION	MEDIUM		potion,dose
136	CERT	_2DOSE1DEFENSE		 2Dose1defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
137	TOP_LEVEL	_1DOSE1DEFENSE	Defence potion(1)	 1Dose1defense	POTION	MEDIUM		potion,dose
138	CERT	_1DOSE1DEFENSE		 1Dose1defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
139	TOP_LEVEL	_3DOSEPRAYERRESTORE	Prayer potion(3)	 3Doseprayerrestore	POTION	MEDIUM		potion,dose
140	CERT	_3DOSEPRAYERRESTORE		 3Doseprayerrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
141	TOP_LEVEL	_2DOSEPRAYERRESTORE	Prayer potion(2)	 2Doseprayerrestore	POTION	MEDIUM		potion,dose
142	CERT	_2DOSEPRAYERRESTORE		 2Doseprayerrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
143	TOP_LEVEL	_1DOSEPRAYERRESTORE	Prayer potion(1)	 1Doseprayerrestore	POTION	MEDIUM		potion,dose
144	CERT	_1DOSEPRAYERRESTORE		 1Doseprayerrestore	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
145	TOP_LEVEL	_3DOSE2ATTACK	Super attack(3)	 3Dose2attack	POTION	MEDIUM		potion,dose
146	CERT	_3DOSE2ATTACK		 3Dose2attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
147	TOP_LEVEL	_2DOSE2ATTACK	Super attack(2)	 2Dose2attack	POTION	MEDIUM		potion,dose
148	CERT	_2DOSE2ATTACK		 2Dose2attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
149	TOP_LEVEL	_1DOSE2ATTACK	Super attack(1)	 1Dose2attack	POTION	MEDIUM		potion,dose
150	CERT	_1DOSE2ATTACK		 1Dose2attack	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
151	TOP_LEVEL	_3DOSEFISHERSPOTION	Fishing potion(3)	 3Dosefisherspotion	POTION	MEDIUM		potion,dose
152	CERT	_3DOSEFISHERSPOTION		 3Dosefisherspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
153	TOP_LEVEL	_2DOSEFISHERSPOTION	Fishing potion(2)	 2Dosefisherspotion	POTION	MEDIUM		potion,dose
154	CERT	_2DOSEFISHERSPOTION		 2Dosefisherspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
155	TOP_LEVEL	_1DOSEFISHERSPOTION	Fishing potion(1)	 1Dosefisherspotion	POTION	MEDIUM		potion,dose
156	CERT	_1DOSEFISHERSPOTION		 1Dosefisherspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
157	TOP_LEVEL	_3DOSE2STRENGTH	Super strength(3)	 3Dose2strength	POTION	MEDIUM		potion,dose
158	CERT	_3DOSE2STRENGTH		 3Dose2strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
159	TOP_LEVEL	_2DOSE2STRENGTH	Super strength(2)	 2Dose2strength	POTION	MEDIUM		potion,dose
160	CERT	_2DOSE2STRENGTH		 2Dose2strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
161	TOP_LEVEL	_1DOSE2STRENGTH	Super strength(1)	 1Dose2strength	POTION	MEDIUM		potion,dose
162	CERT	_1DOSE2STRENGTH		 1Dose2strength	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
163	TOP_LEVEL	_3DOSE2DEFENSE	Super defence(3)	 3Dose2defense	POTION	MEDIUM		potion,dose
164	CERT	_3DOSE2DEFENSE		 3Dose2defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
165	TOP_LEVEL	_2DOSE2DEFENSE	Super defence(2)	 2Dose2defense	POTION	MEDIUM		potion,dose
166	CERT	_2DOSE2DEFENSE		 2Dose2defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
167	TOP_LEVEL	_1DOSE2DEFENSE	Super defence(1)	 1Dose2defense	POTION	MEDIUM		potion,dose
168	CERT	_1DOSE2DEFENSE		 1Dose2defense	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
169	TOP_LEVEL	_3DOSERANGERSPOTION	Ranging potion(3)	 3Doserangerspotion	POTION	MEDIUM		potion,dose
170	CERT	_3DOSERANGERSPOTION		 3Doserangerspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
171	TOP_LEVEL	_2DOSERANGERSPOTION	Ranging potion(2)	 2Doserangerspotion	POTION	MEDIUM		potion,dose
172	CERT	_2DOSERANGERSPOTION		 2Doserangerspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
173	TOP_LEVEL	_1DOSERANGERSPOTION	Ranging potion(1)	 1Doserangerspotion	POTION	MEDIUM		potion,dose
174	CERT	_1DOSERANGERSPOTION		 1Doserangerspotion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
175	TOP_LEVEL	_3DOSEANTIPOISON	Antipoison(3)	 3Doseantipoison	POTION	MEDIUM		potion,dose
176	CERT	_3DOSEANTIPOISON		 3Doseantipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
177	TOP_LEVEL	_2DOSEANTIPOISON	Antipoison(2)	 2Doseantipoison	POTION	MEDIUM		potion,dose
178	CERT	_2DOSEANTIPOISON		 2Doseantipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
179	TOP_LEVEL	_1DOSEANTIPOISON	Antipoison(1)	 1Doseantipoison	POTION	MEDIUM		potion,dose
180	CERT	_1DOSEANTIPOISON		 1Doseantipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
181	TOP_LEVEL	_3DOSE2ANTIPOISON	Superantipoison(3)	 3Dose2antipoison	POTION	MEDIUM		potion,dose
182	CERT	_3DOSE2ANTIPOISON		 3Dose2antipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
183	TOP_LEVEL	_2DOSE2ANTIPOISON	Superantipoison(2)	 2Dose2antipoison	POTION	MEDIUM		potion,dose
184	CERT	_2DOSE2ANTIPOISON		 2Dose2antipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
185	TOP_LEVEL	_1DOSE2ANTIPOISON	Superantipoison(1)	 1Dose2antipoison	POTION	MEDIUM		potion,dose
186	CERT	_1DOSE2ANTIPOISON		 1Dose2antipoison	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
187	TOP_LEVEL	WEAPON_POISON	Weapon poison	Weapon Poison	UNKNOWN	LOW		
188	CERT	WEAPON_POISON		Weapon Poison	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
189	TOP_LEVEL	_3DOSEPOTIONOFZAMORAK	Zamorak brew(3)	 3Dosepotionofzamorak	POTION	MEDIUM		potion,dose
190	CERT	_3DOSEPOTIONOFZAMORAK		 3Dosepotionofzamorak	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
191	TOP_LEVEL	_2DOSEPOTIONOFZAMORAK	Zamorak brew(2)	 2Dosepotionofzamorak	POTION	MEDIUM		potion,dose
192	CERT	_2DOSEPOTIONOFZAMORAK		 2Dosepotionofzamorak	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
193	TOP_LEVEL	_1DOSEPOTIONOFZAMORAK	Zamorak brew(1)	 1Dosepotionofzamorak	POTION	MEDIUM		potion,dose
194	CERT	_1DOSEPOTIONOFZAMORAK		 1Dosepotionofzamorak	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion,dose
195	TOP_LEVEL	ACNE_POTION	Potion	Acne Potion	POTION	MEDIUM		potion
196	CERT	ACNE_POTION		Acne Potion	POTION	MEDIUM	exclude-main-catalog,cert,missing-direct-javadoc	potion
197	TOP_LEVEL	POISON_CHALICE	Poison chalice	Poison Chalice	UNKNOWN	LOW		
198	CERT	POISON_CHALICE		Poison Chalice	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
199	TOP_LEVEL	UNIDENTIFIED_GUAM	Grimy guam leaf	Unidentified Guam	HERBLORE	MEDIUM		herblore
200	CERT	UNIDENTIFIED_GUAM		Unidentified Guam	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
201	TOP_LEVEL	UNIDENTIFIED_MARENTILL	Grimy marrentill	Unidentified Marentill	HERBLORE	MEDIUM		herblore
202	CERT	UNIDENTIFIED_MARENTILL		Unidentified Marentill	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
203	TOP_LEVEL	UNIDENTIFIED_TARROMIN	Grimy tarromin	Unidentified Tarromin	HERBLORE	MEDIUM		herblore
204	CERT	UNIDENTIFIED_TARROMIN		Unidentified Tarromin	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
205	TOP_LEVEL	UNIDENTIFIED_HARRALANDER	Grimy harralander	Unidentified Harralander	HERBLORE	MEDIUM		herblore
206	CERT	UNIDENTIFIED_HARRALANDER		Unidentified Harralander	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
207	TOP_LEVEL	UNIDENTIFIED_RANARR	Grimy ranarr weed	Unidentified Ranarr	HERBLORE	MEDIUM		herblore
208	CERT	UNIDENTIFIED_RANARR		Unidentified Ranarr	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
209	TOP_LEVEL	UNIDENTIFIED_IRIT	Grimy irit leaf	Unidentified Irit	HERBLORE	MEDIUM		herblore
210	CERT	UNIDENTIFIED_IRIT		Unidentified Irit	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
211	TOP_LEVEL	UNIDENTIFIED_AVANTOE	Grimy avantoe	Unidentified Avantoe	HERBLORE	MEDIUM		herblore
212	CERT	UNIDENTIFIED_AVANTOE		Unidentified Avantoe	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
213	TOP_LEVEL	UNIDENTIFIED_KWUARM	Grimy kwuarm	Unidentified Kwuarm	HERBLORE	MEDIUM		herblore
214	CERT	UNIDENTIFIED_KWUARM		Unidentified Kwuarm	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
215	TOP_LEVEL	UNIDENTIFIED_CADANTINE	Grimy cadantine	Unidentified Cadantine	HERBLORE	MEDIUM		herblore
216	CERT	UNIDENTIFIED_CADANTINE		Unidentified Cadantine	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
217	TOP_LEVEL	UNIDENTIFIED_DWARF_WEED	Grimy dwarf weed	Unidentified Dwarf Weed	HERBLORE	MEDIUM		herblore
218	CERT	UNIDENTIFIED_DWARF_WEED		Unidentified Dwarf Weed	UNKNOWN	LOW	exclude-main-catalog,cert,missing-direct-javadoc	
