# schema=1
# item_id	family_key	variant_kind	variant_value	food_role	heal_model	immediate_heal_min	immediate_heal_max	secondary_heal	area_restriction	source_key
12695	potion.super_combat	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12697	potion.super_combat	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12699	potion.super_combat	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12701	potion.super_combat	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2444	potion.ranging	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
169	potion.ranging	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
171	potion.ranging	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
173	potion.ranging	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3040	potion.magic	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3042	potion.magic	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3044	potion.magic	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3046	potion.magic	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2430	potion.restore	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
127	potion.restore	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
129	potion.restore	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
131	potion.restore	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2434	potion.prayer	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
139	potion.prayer	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
141	potion.prayer	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
143	potion.prayer	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3024	potion.super_restore	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3026	potion.super_restore	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3028	potion.super_restore	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3030	potion.super_restore	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3008	potion.energy	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3010	potion.energy	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3012	potion.energy	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3014	potion.energy	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3016	potion.super_energy	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3018	potion.super_energy	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3020	potion.super_energy	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
3022	potion.super_energy	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12625	potion.stamina	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12627	potion.stamina	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12629	potion.stamina	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12631	potion.stamina	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2446	potion.antipoison	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
175	potion.antipoison	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
177	potion.antipoison	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
179	potion.antipoison	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2448	potion.superantipoison	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
181	potion.superantipoison	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
183	potion.superantipoison	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
185	potion.superantipoison	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2452	potion.antifire	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2454	potion.antifire	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2456	potion.antifire	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
2458	potion.antifire	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12905	potion.anti_venom	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12907	potion.anti_venom	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12909	potion.anti_venom	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12911	potion.anti_venom	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12913	potion.anti_venom_plus	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12915	potion.anti_venom_plus	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12917	potion.anti_venom_plus	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
12919	potion.anti_venom_plus	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
6685	potion.saradomin_brew	DOSE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
6687	potion.saradomin_brew	DOSE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
6689	potion.saradomin_brew	DOSE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
6691	potion.saradomin_brew	DOSE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-potions-15243625
# Standard grimy -> clean herb workflow stages. Family direction is supported by the reviewed
# ten-template Ironman cohort; canonical item relationships are pinned to the OSRS Wiki source.
199	herb.guam	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
249	herb.guam	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
201	herb.marrentill	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
251	herb.marrentill	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
203	herb.tarromin	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
253	herb.tarromin	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
205	herb.harralander	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
255	herb.harralander	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
207	herb.ranarr	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
257	herb.ranarr	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
3049	herb.toadflax	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
2998	herb.toadflax	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
209	herb.irit	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
259	herb.irit	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
211	herb.avantoe	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
261	herb.avantoe	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
213	herb.kwuarm	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
263	herb.kwuarm	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
3051	herb.snapdragon	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
3000	herb.snapdragon	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
215	herb.cadantine	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
265	herb.cadantine	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
2485	herb.lantadyme	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
2481	herb.lantadyme	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
217	herb.dwarf_weed	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
267	herb.dwarf_weed	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
219	herb.torstol	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
269	herb.torstol	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-herbs-15112638
# Clean herb -> unfinished potion stages. Stage 2 remains reserved for a future evidence-backed
# seed policy; the unfinished product uses its intended recipe-row column at stage 3.
91	herb.guam	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
93	herb.marrentill	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
95	herb.tarromin	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
97	herb.harralander	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
99	herb.ranarr	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
3002	herb.toadflax	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
101	herb.irit	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
103	herb.avantoe	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
105	herb.kwuarm	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
3004	herb.snapdragon	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
107	herb.cadantine	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
2483	herb.lantadyme	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
109	herb.dwarf_weed	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
111	herb.torstol	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-unfinished-potions-14879158
# Raw -> processed resource stages. Only canonical bankable IDs are included; noted/cert,
# placeholder, and same-name contextual variants are deliberately excluded.
436	metal.ores-base	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
438	metal.ores-base	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
440	metal.ores-base	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
453	metal.ores-base	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
442	metal.ores-tier	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
444	metal.ores-tier	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
447	metal.ores-tier	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
449	metal.ores-tier	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
451	metal.ores-tier	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2349	metal.bars	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2351	metal.bars	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2353	metal.bars	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2355	metal.bars	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2357	metal.bars	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2359	metal.bars	WORKFLOW_STAGE	5	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2361	metal.bars	WORKFLOW_STAGE	6	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
2363	metal.bars	WORKFLOW_STAGE	7	NONE	NONE	0	0	0	NONE	osrs-wiki-smithing-15260331
1625	gem.opal	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1609	gem.opal	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1623	gem.sapphire	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1607	gem.sapphire	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1621	gem.emerald	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1605	gem.emerald	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1619	gem.ruby	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1603	gem.ruby	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1617	gem.diamond	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1601	gem.diamond	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1631	gem.dragonstone	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1615	gem.dragonstone	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-crafting-15260346
1511	wood.logs.normal	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
1521	wood.logs.normal	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
1519	wood.logs.normal	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
1517	wood.logs.normal	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
1515	wood.logs.normal	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
1513	wood.logs.normal	WORKFLOW_STAGE	5	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
19669	wood.logs.normal	WORKFLOW_STAGE	6	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
6333	wood.logs.construction	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
6332	wood.logs.construction	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
32904	wood.logs.construction	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
32907	wood.logs.construction	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
32910	wood.logs.construction	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
10810	wood.special-materials	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
24691	wood.special-materials	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
22935	wood.special-materials	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
28134	wood.special-materials	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-woodcutting-15160660
960	wood.planks	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
8778	wood.planks	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
8780	wood.planks	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
8782	wood.planks	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
31432	wood.planks	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
31435	wood.planks	WORKFLOW_STAGE	5	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
31438	wood.planks	WORKFLOW_STAGE	6	NONE	NONE	0	0	0	NONE	osrs-wiki-planks-15110770
39	fletching.arrowtips	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
40	fletching.arrowtips	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
41	fletching.arrowtips	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
42	fletching.arrowtips	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
43	fletching.arrowtips	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
44	fletching.arrowtips	WORKFLOW_STAGE	5	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
21350	fletching.arrowtips	WORKFLOW_STAGE	6	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
11237	fletching.arrowtips	WORKFLOW_STAGE	7	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
50	fletching.unstrung-shortbows	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
54	fletching.unstrung-shortbows	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
60	fletching.unstrung-shortbows	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
64	fletching.unstrung-shortbows	WORKFLOW_STAGE	3	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
68	fletching.unstrung-shortbows	WORKFLOW_STAGE	4	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
72	fletching.unstrung-shortbows	WORKFLOW_STAGE	5	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
48	fletching.unstrung-longbows	WORKFLOW_STAGE	0	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
56	fletching.unstrung-longbows	WORKFLOW_STAGE	1	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
58	fletching.unstrung-longbows	WORKFLOW_STAGE	2	NONE	NONE	0	0	0	NONE	osrs-wiki-fletching-15122007
